time_now,temperature,weather,wet,windDirection,windSpeed
10:00,30°,局部多云,3%,东南偏东 ,18 公里/小时
11:00,31°,局部多云,3%,东南偏东 ,18 公里/小时
12:00,31°,局部多云,3%,东南偏东 ,17 公里/小时
13:00,31°,局部多云,2%,东南偏东 ,18 公里/小时
14:00,32°,局部多云,1%,东南偏东 ,18 公里/小时
15:00,32°,局部多云,2%,东南偏东 ,18 公里/小时
16:00,32°,局部多云,2%,东南偏东 ,17 公里/小时
17:00,31°,局部多云,1%,东南偏东 ,17 公里/小时
18:00,30°,局部多云,2%,东南偏东 ,14 公里/小时
19:00,29°,局部多云,3%,东南偏东 ,12 公里/小时
20:00,28°,局部多云,4%,东 ,10 公里/小时
21:00,27°,大部分地区多云,4%,东 ,11 公里/小时
22:00,27°,大部分地区多云,5%,东 ,12 公里/小时
23:00,27°,大部分地区多云,6%,东 ,13 公里/小时
00:00,27°,大部分地区多云,6%,东 ,13 公里/小时
01:00,27°,大部分地区多云,7%,东 ,13 公里/小时
02:00,26°,大部分地区多云,7%,东 ,13 公里/小时
03:00,26°,大部分地区多云,8%,东 ,13 公里/小时
04:00,26°,大部分地区多云,8%,东 ,13 公里/小时
05:00,26°,大部分地区多云,8%,东 ,14 公里/小时
06:00,26°,大部分地区多云,8%,东 ,14 公里/小时
07:00,28°,大部分地区多云,7%,东 ,18 公里/小时
08:00,29°,大部分地区多云,12%,东南偏东 ,20 公里/小时
09:00,30°,大部分地区多云,13%,东南偏东 ,21 公里/小时
10:00,30°,多云,12%,东南偏东 ,20 公里/小时
11:00,31°,大部分地区多云,14%,东南偏东 ,21 公里/小时
12:00,31°,大部分地区多云,11%,东南偏东 ,21 公里/小时
13:00,31°,大部分地区多云,14%,东南偏东 ,21 公里/小时
14:00,32°,局部多云,9%,东南偏东 ,20 公里/小时
15:00,32°,大部分地区多云,10%,东南偏东 ,20 公里/小时
16:00,31°,大部分地区多云,10%,东南偏东 ,19 公里/小时
17:00,31°,局部多云,7%,东南偏东 ,20 公里/小时
18:00,30°,局部多云,8%,东南偏东 ,19 公里/小时
19:00,29°,局部多云,9%,东 ,17 公里/小时
20:00,28°,大部分地区多云,5%,东 ,15 公里/小时
21:00,28°,大部分地区多云,5%,东 ,15 公里/小时
22:00,27°,大部分地区多云,5%,东 ,16 公里/小时
23:00,27°,大部分地区多云,6%,东 ,15 公里/小时
00:00,27°,大部分地区多云,6%,东 ,15 公里/小时
01:00,26°,大部分地区多云,6%,东 ,15 公里/小时
02:00,26°,大部分地区多云,7%,东 ,14 公里/小时
03:00,26°,大部分地区多云,7%,东 ,14 公里/小时
04:00,26°,大部分地区多云,7%,东 ,14 公里/小时
05:00,25°,大部分地区多云,8%,东 ,14 公里/小时
06:00,26°,大部分地区多云,8%,东 ,15 公里/小时
07:00,27°,大部分地区多云,7%,东 ,18 公里/小时
08:00,28°,大部分地区多云,5%,东南偏东 ,20 公里/小时
09:00,29°,大部分地区多云,4%,东南偏东 ,21 公里/小时
